frame_index,angle_deg
635,82.0071
636,84.7043
637,87.0508
638,89.3420
639,91.6815
640,93.9270
641,96.1469
642,98.2384
643,100.4076
644,102.5275
645,105.4503
646,108.0521
647,110.6347
648,112.7686
649,114.8370
650,116.3711
651,117.9378
652,119.5067
653,120.7528
654,121.7784
655,122.7021
656,123.8195
657,124.7520
658,126.4135
659,128.1807
660,129.9349
661,131.5250
662,133.2037
663,135.5225
664,137.3811
665,139.2307
666,141.0365
667,142.6137
668,143.0600
669,143.4268
670,143.6889
671,143.2879
672,143.1063
673,143.5031
674,144.6885
675,145.4934
676,146.7574
677,147.7598
678,148.4459
679,148.7172
680,149.0574
681,149.8057
682,150.5637
683,150.9543
684,151.3187
685,151.8346
686,152.2322
687,152.7874
688,153.4579
689,154.2855
690,155.0035
691,155.5067
692,155.8465
693,156.2363
694,155.8584
695,155.7150
696,155.3037
697,153.9826
698,152.4031
699,151.7818
700,150.8548
701,150.0276
702,150.0220
703,150.0043
704,149.2229
705,148.0027
706,146.1254
707,143.7231
708,141.3279
709,138.2938
710,135.6360
711,133.7769
712,132.1394
713,130.3724
714,128.9011
715,127.1053
716,125.2360
717,123.0472
718,120.3024
719,118.0450
720,116.2192
721,113.9389
722,111.5758
723,109.5054
724,107.1952
725,104.7930
726,102.5062
727,100.5151
728,99.0249
729,97.6812
730,95.9866
731,94.4621
732,93.0201
733,91.5669
734,90.1985
735,89.0877
736,88.1360
737,87.3282
738,86.3779
739,85.2070
740,83.9553
741,82.7266
742,81.5865
743,80.5354
744,79.6003
745,78.9411
746,77.8878
747,76.6798
748,75.5381
749,74.2883
750,72.9696
751,71.9478
752,71.1250
753,70.3113
754,69.8209
755,69.3959
756,68.9649
757,68.5253
758,68.0752
759,67.5145
760,67.0930
761,66.5545
762,65.9058
763,65.2351
764,64.5663
765,63.7419
766,63.1976
767,62.8467
768,62.5607
769,62.2182
770,61.3728
771,60.2564
772,58.9614
773,57.5102
774,55.8711
775,54.7867
776,54.2368
777,53.9065
778,54.0702
779,54.5878
780,55.1470
781,55.3620
782,55.5116
783,55.3630
784,55.1495
785,54.9296
786,54.7341
787,54.7062
788,54.7345
789,55.0811
790,55.7001
791,57.0434
792,58.7578
793,61.0894
794,63.7716
795,66.4216
796,68.8826
797,71.3554
798,73.8539
799,76.3712
800,78.9059
801,81.4446
802,83.8231
803,86.1687
804,87.9868
805,90.1042
806,92.3968
807,94.1609
808,95.5551
809,97.2895
810,99.0268
811,100.1870
812,101.9315
813,104.0763
814,106.1536
815,108.2149
816,110.3875
817,112.4857
818,114.6359
819,116.9987
820,119.4268
821,121.4945
822,123.8107
823,126.0746
824,128.1910
825,129.6011
826,131.7717
827,133.9970
828,135.5274
829,136.9705
830,138.4531
831,139.6011
832,140.2524
833,141.0040
834,141.5760
835,142.0959
836,142.4056
837,142.6256
838,142.7903
839,142.7446
840,142.8706
