frame_index,angle_deg
747,64.8060
748,69.5357
749,74.7618
750,80.4196
751,86.7392
752,92.9082
753,98.3978
754,103.7761
755,107.4491
756,110.6893
757,113.3467
758,116.4053
759,119.6788
760,123.4937
761,126.7917
762,130.0636
763,133.2274
764,135.7067
765,138.1623
766,140.6610
767,143.0485
768,145.2373
769,147.5491
770,149.8160
771,152.1680
772,154.5349
773,156.8885
774,158.9476
775,160.5576
776,161.8429
777,162.6514
778,163.1251
779,163.5447
780,163.8562
781,163.9498
782,163.9071
783,163.7949
784,163.5143
785,163.2931
786,163.1477
787,163.0624
788,162.9187
789,162.7979
790,162.5722
791,162.0691
792,161.3875
793,160.4607
794,159.9679
795,159.3417
